frame,abstime,reltime,Function 1 [C]
457,06:28.9,9.009,2.08E+02
458,06:29.9,10.01,2.08E+02
459,06:30.9,11.011,2.06E+02
460,06:31.9,12.012,2.05E+02
461,06:32.9,13.013,2.03E+02
462,06:33.9,14.013,2.02E+02
463,06:34.9,15.014,2.01E+02
464,06:35.9,16.015,2.00E+02
465,06:36.9,17.016,1.99E+02
466,06:37.9,18.017,1.98E+02
467,06:38.9,19.018,1.95E+02
468,06:39.9,20.019,1.95E+02
469,06:40.8,20.987,1.94E+02
470,06:41.8,21.987,1.93E+02
471,06:42.8,22.988,1.93E+02
472,06:43.8,23.99,1.92E+02
473,06:44.8,24.99,1.91E+02
474,06:45.8,25.992,1.91E+02
475,06:46.8,26.992,1.90E+02
476,06:47.8,27.993,1.88E+02
477,06:48.8,28.993,1.88E+02
478,06:49.8,29.995,1.87E+02
479,06:50.8,30.995,1.85E+02
480,06:51.8,31.996,1.84E+02
481,06:52.8,32.996,1.82E+02
482,06:53.8,33.998,1.81E+02
483,06:54.8,34.999,1.81E+02
484,06:55.8,36,1.79E+02
485,06:56.5,36.664,1.77E+02
486,06:57.7,37.845,1.78E+02
487,06:58.8,38.97,1.77E+02
488,06:59.8,39.972,1.76E+02
489,07:00.8,40.972,1.75E+02
490,07:01.8,41.973,1.74E+02
491,07:02.8,42.973,1.74E+02
492,07:03.8,43.974,1.73E+02
493,07:04.8,44.976,1.72E+02
494,07:05.8,45.976,1.72E+02
495,07:06.8,46.977,1.71E+02
496,07:07.8,47.978,1.70E+02
497,07:08.8,48.978,1.70E+02
498,07:09.8,49.979,1.68E+02
499,07:10.8,50.98,1.68E+02
500,07:11.8,51.948,1.67E+02
501,07:12.8,52.95,1.67E+02
502,07:13.8,53.95,1.66E+02
503,07:14.8,54.951,1.66E+02
504,07:15.8,55.952,1.64E+02
505,07:16.8,56.952,1.63E+02
506,07:17.8,57.954,1.63E+02
507,07:18.8,58.955,1.62E+02
508,07:19.8,59.955,1.62E+02
509,07:20.8,60.956,1.61E+02
510,07:21.8,61.956,1.60E+02
511,07:22.8,62.957,1.60E+02
512,07:23.8,63.959,1.59E+02
513,07:24.8,64.959,1.59E+02
514,07:25.8,65.959,1.57E+02
